ClassPriors	56,44,0.56,0.44
appears	4,1,0.000202798620969,4.1160732661e-05
appetite	1,3,5.06996552423e-05,0.000123482197983
application	1,5,5.06996552423e-05,0.000205803663305
applied	6,1,0.000304197931454,4.1160732661e-05
apply	2,4,0.000101399310485,0.000164642930644
appreciate	3,1,0.000152098965727,4.1160732661e-05
appreciation	3,1,0.000152098965727,4.1160732661e-05
approach	2,2,0.000101399310485,8.23214653221e-05
appropriate	4,1,0.000202798620969,4.1160732661e-05
approved	2,6,0.000101399310485,0.000246964395966
approximately	5,1,0.000253498276212,4.1160732661e-05
aqmd	3,1,0.000152098965727,4.1160732661e-05
arbitrage	5,1,0.000253498276212,4.1160732661e-05
arcy	8,1,0.000405597241939,4.1160732661e-05
are	63,108,0.00319407828027,0.00444535912739
area	2,4,0.000101399310485,0.000164642930644
areas	3,2,0.000152098965727,8.23214653221e-05
aren	1,4,5.06996552423e-05,0.000164642930644
argentine	5,1,0.000253498276212,4.1160732661e-05
argument	3,1,0.000152098965727,4.1160732661e-05
arlene	1,3,5.06996552423e-05,0.000123482197983
armstrong	3,1,0.000152098965727,4.1160732661e-05
around	5,3,0.000253498276212,0.000123482197983
arrange	4,3,0.000202798620969,0.000123482197983
arrangement	3,1,0.000152098965727,4.1160732661e-05
arrangements	1,4,5.06996552423e-05,0.000164642930644
arrest	1,5,5.06996552423e-05,0.000205803663305
art	1,3,5.06996552423e-05,0.000123482197983
article	1,4,5.06996552423e-05,0.000164642930644
articles	1,3,5.06996552423e-05,0.000123482197983
as	70,70,0.00354897586696,0.00288125128627
ashburton	1,4,5.06996552423e-05,0.000164642930644
aside	1,5,5.06996552423e-05,0.000205803663305
ask	3,8,0.000152098965727,0.000329285861288
asked	3,2,0.000152098965727,8.23214653221e-05
asking	6,6,0.000304197931454,0.000246964395966
aspermont	1,4,5.06996552423e-05,0.000164642930644
assembly	3,1,0.000152098965727,4.1160732661e-05
assemblyman	4,1,0.000202798620969,4.1160732661e-05
assets	14,2,0.000709795173393,8.23214653221e-05
assist	1,8,5.06996552423e-05,0.000329285861288
assistance	3,9,0.000152098965727,0.000370446593949
assistant	3,1,0.000152098965727,4.1160732661e-05
associate	2,3,0.000101399310485,0.000123482197983
associated	3,3,0.000152098965727,0.000123482197983
association	3,2,0.000152098965727,8.23214653221e-05
assure	5,1,0.000253498276212,4.1160732661e-05
at	64,84,0.00324477793551,0.00345750154353
ate	2,3,0.000101399310485,0.000123482197983
attached	8,2,0.000405597241939,8.23214653221e-05
attatched	3,1,0.000152098965727,4.1160732661e-05
attempt	3,1,0.000152098965727,4.1160732661e-05
attend	7,2,0.000354897586696,8.23214653221e-05
